_ID,Journal_name,ISSN,eISSN,Category,Total_Citations,2020_JIF,JIF_Quartile,2020 _JCI,Percentage_of_OA_Gold
1477,GMS Hygiene and Infection Control,2196-5226,2196-5226,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI",438,n/a,n/a,0.71,100.00%
1478,Global Health Research and Policy,N/A,2397-0642,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI",366,n/a,n/a,0.88,100.00%
1479,Health Behavior and Policy Review,2326-4403,2326-4403,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI",197,n/a,n/a,0.15,15.00%
1480,Journal of Marine Medical Society,0975-3605,2589-1235,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI",42,n/a,n/a,0.04,100.00%
1481,Journal of Public Health Research,2279-9028,2279-9036,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI",434,n/a,n/a,0.58,100.00%
1482,Public Health Research & Practice,2204-2091,2204-2091,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI",420,n/a,n/a,0.69,100.00%
1483,Indian Journal of Community Health,0971-7587,2248-9509,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI",242,n/a,n/a,0.08,14.34%
1484,Journal of Public Health in Africa,2038-9922,2038-9930,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI",224,n/a,n/a,0.16,100.00%
1485,Buletin Penelitian Sistem Kesehatan,1410-2935,2354-8738,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI",53,n/a,n/a,0.09,68.75%
1486,Canadian Journal of Human Sexuality,1188-4517,2291-7063,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI",393,n/a,n/a,0.4,0.00%
1487,Journal of Chemical Health & Safety,1871-5532,1878-0504,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI",349,n/a,n/a,0.43,1.61%
1488,Journal of Public Health-Heidelberg,2198-1833,1613-2238,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI","1,223",n/a,n/a,0.4,13.61%
1489,Pravention und Gesundheitsforderung,1861-6755,1861-6763,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI",251,n/a,n/a,0.19,21.84%
1490,American Journal of Health Education,1932-5037,2168-3751,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI",774,n/a,n/a,0.44,0.00%
1491,Indian Journal of Community Medicine,0970-0218,1998-3581,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI",268,n/a,n/a,0.31,100.00%
1492,Interface-Comunicacao Saude Educacao,1414-3283,1807-5762,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI","1,026",n/a,n/a,0.18,100.00%
1493,Journal of Health and Safety at Work,2251-807X,2383-2088,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI",85,n/a,n/a,0.18,100.00%
1494,Kesmas-National Public Health Journal,1907-7505,2460-0601,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI",101,n/a,n/a,0.09,100.00%
1495,American Journal of Lifestyle Medicine,1559-8276,1559-8284,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI","1,372",n/a,n/a,0.37,1.90%
1496,Central Asian Journal of Global Health,2166-7403,2166-7403,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI",68,n/a,n/a,0.45,100.00%
1497,Journal of Research in Health Sciences,2228-7795,2228-7809,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI",575,n/a,n/a,0.5,22.34%
1498,Journal of Workplace Behavioral Health,1555-5240,1555-5259,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI",302,n/a,n/a,0.41,10.00%
1499,Clinical Epidemiology and Global Health,2452-0918,2213-3984,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI",565,n/a,n/a,0.69,1.72%
1500,Global Health Epidemiology and Genomics,2054-4200,2054-4200,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI",157,n/a,n/a,0.41,100.00%
1501,International Journal of Prisoner Health,1744-9200,1744-9219,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI",347,n/a,n/a,0.42,0.00%
1502,Journal of Family and Community Medicine,2230-8229,2229-340X,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI",783,n/a,n/a,0.65,100.00%
1503,Policy and Practice in Health and Safety,1477-3996,1477-4003,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI",150,n/a,n/a,0.31,7.89%
1504,Spatial and Spatio-Temporal Epidemiology,1877-5845,1877-5853,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI",675,n/a,n/a,0.62,6.60%
1505,International Archives of Health Sciences,N/A,2383-2568,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI",14,n/a,n/a,0.06,100.00%
1506,Journal of Agricultural Safety and Health,1074-7583,1943-7846,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI",311,n/a,n/a,0.29,0.00%
1507,Journal of Education and Health Promotion,2277-9531,2319-6440,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI",445,n/a,n/a,0.34,97.38%
1508,Western Pacific Surveillance and Response,2094-7321,2094-7313,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI",340,n/a,n/a,0.56,100.00%
1509,Australian Journal of Emergency Management,1324-1540,1324-1540,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI",499,n/a,n/a,0.26,0.00%
1510,International Journal of Indigenous Health,2291-9368,2291-9376,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI",230,n/a,n/a,0.27,48.78%
1511,NATURE,0028-0836,1476-4687,MULTIDISCIPLINARY SCIENCES - SCIE,"915,925",49.96,Q1,8.7,3.40%
1512,SCIENCE,0036-8075,1095-9203,MULTIDISCIPLINARY SCIENCES - SCIE,"814,971",47.73,Q1,7.63,4.67%
1513,National Science Review,2095-5138,2053-714X,MULTIDISCIPLINARY SCIENCES - SCIE,"5,889",17.28,Q1,1.81,97.10%
1514,JAMA Pediatrics,2168-6203,2168-6211,PEDIATRICS - SCIE,"14,720",16.19,Q1,5.86,9.78%
1515,Nature Communications,2041-1723,2041-1723,MULTIDISCIPLINARY SCIENCES - SCIE,"453,215",14.92,Q1,2.66,99.93%
1516,Science Advances,2375-2548,2375-2548,MULTIDISCIPLINARY SCIENCES - SCIE,"65,205",14.14,Q1,2.71,100.00%
1517,Nature Human Behaviour,2397-3374,2397-3374,MULTIDISCIPLINARY SCIENCES - SCIE,"5,549",13.66,Q1,2.8,0.00%
1518,ALLERGY,0105-4538,1398-9995,ALLERGY - SCIE,"25,131",13.15,Q1,2.11,22.98%
1519,Journal of Cachexia Sarcopenia and Muscle,2190-5991,2190-6009,GERIATRICS & GERONTOLOGY - SCIE,"5,908",12.91,Q1,3.07,100.00%
1520,Science Bulletin,2095-9273,2095-9281,MULTIDISCIPLINARY SCIENCES - SCIE,"8,832",11.78,Q1,1.5,4.91%
1521,Lancet Child & Adolescent Health,2352-4642,2352-4642,PEDIATRICS - SCIE,"3,501",11.29,Q1,3.7,14.83%
1522,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0027-8424,N/A,MULTIDISCIPLINARY SCIENCES - SCIE,"799,058",11.21,Q1,2.04,39.11%
1523,AGEING RESEARCH REVIEWS,1568-1637,1872-9649,GERIATRICS & GERONTOLOGY - SCIE,"10,264",10.90,Q1,1.55,15.51%
1524,JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY,0091-6749,1097-6825,ALLERGY - SCIE,"63,614",10.79,Q1,2.35,18.04%
1525,AGE AND AGEING,0002-0729,1468-2834,GERIATRICS & GERONTOLOGY - SCIE,"17,130",10.67,Q1,2.06,29.03%
1526,Journal of Advanced Research,2090-1232,2090-1224,MULTIDISCIPLINARY SCIENCES - SCIE,"5,927",10.48,Q1,1.23,100.00%
1527,AGING CELL,1474-9718,1474-9726,GERIATRICS & GERONTOLOGY - SCIE,"13,890",9.30,Q1,1.82,100.00%
1528,Journal of Allergy and Clinical Immunology-In Practice,2213-2198,2213-2201,ALLERGY - SCIE,"9,255",8.86,Q1,1.55,9.93%
1529,JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY,0890-8567,1527-5418,PEDIATRICS - SCIE,"25,046",8.83,Q1,2.3,11.43%
1530,CLINICAL REVIEWS IN ALLERGY & IMMUNOLOGY,1080-0549,1559-0267,ALLERGY - SCIE,"4,546",8.67,Q1,1.27,7.84%
1531,GeroScience,2509-2715,2509-2723,GERIATRICS & GERONTOLOGY - SCIE,"1,597",7.71,Q1,1.84,19.78%
1532,PEDIATRICS,0031-4005,1098-4275,PEDIATRICS - SCIE,"95,966",7.12,Q1,2.66,0.31%
1533,Aging and Disease,2152-5250,2152-5250,GERIATRICS & GERONTOLOGY - SCIE,"4,050",6.75,Q1,1.3,100.00%
1534,CONTACT DERMATITIS,0105-1873,1600-0536,ALLERGY - SCIE,"7,973",6.60,Q1,1.21,13.98%
1535,GigaScience,2047-217X,2047-217X,MULTIDISCIPLINARY SCIENCES - SCIE,"5,876",6.52,Q1,1.46,100.00%
1536,Scientific Data,N/A,2052-4463,MULTIDISCIPLINARY SCIENCES - SCIE,"10,617",6.44,Q1,1.18,100.00%
1537,Immunity & Ageing,1742-4933,1742-4933,GERIATRICS & GERONTOLOGY - SCIE,"1,468",6.40,Q1,1.05,100.00%
1538,PEDIATRIC ALLERGY AND IMMUNOLOGY,0905-6157,1399-3038,PEDIATRICS - SCIE; ALLERGY - SCIE,"5,778",6.38,Q1; Q1,1.53,13.39%
1539,ANNALS OF ALLERGY ASTHMA & IMMUNOLOGY,1081-1206,1534-4436,ALLERGY - SCIE,"10,809",6.35,Q1,0.92,10.32%
1540,JOURNALS OF GERONTOLOGY SERIES A-BIOLOGICAL SCIENCES AND MEDICAL SCIENCES,1079-5006,1758-535X,GERIATRICS & GERONTOLOGY - SCIE,"26,686",6.05,Q1,1.82,14.16%
1541,Frontiers in Bioengineering and Biotechnology,2296-4185,2296-4185,MULTIDISCIPLINARY SCIENCES - SCIE,"7,470",5.89,Q1,0.88,100.00%
1542,Clinical and Translational Allergy,N/A,2045-7022,ALLERGY - SCIE,"1,661",5.87,Q2,0.97,100.00%
1543,ALLERGOLOGY INTERNATIONAL,1323-8930,1440-1592,ALLERGY - SCIE,"3,122",5.84,Q2,0.9,100.00%
1544,Allergy Asthma & Immunology Research,2092-7355,2092-7363,ALLERGY - SCIE,"2,345",5.76,Q2,0.98,52.85%
1545,Frontiers in Aging Neuroscience,1663-4365,1663-4365,GERIATRICS & GERONTOLOGY - SCIE,"13,654",5.75,Q1,1.11,100.00%
1546,Archives of Disease in Childhood-Fetal and Neonatal Edition,1359-2998,1468-2052,PEDIATRICS - SCIE,"7,952",5.75,Q1,2.47,18.94%
1547,ANNALS OF THE NEW YORK ACADEMY OF SCIENCES,0077-8923,1749-6632,MULTIDISCIPLINARY SCIENCES - SCIE,"52,619",5.69,Q1,0.74,20.81%
1548,Aging-US,1945-4589,N/A,GERIATRICS & GERONTOLOGY - SCIE,"13,864",5.68,Q1,1.13,0.00%
1549,JOURNAL OF THE AMERICAN GERIATRICS SOCIETY,0002-8614,1532-5415,GERIATRICS & GERONTOLOGY - SCIE,"42,003",5.56,Q1,1.52,5.68%
1550,iScience,N/A,2589-0042,MULTIDISCIPLINARY SCIENCES - SCIE,"5,235",5.46,Q1,1.02,100.00%
1551,DEVELOPMENTAL MEDICINE AND CHILD NEUROLOGY,0012-1622,1469-8749,PEDIATRICS - SCIE,"16,571",5.45,Q1,1.7,17.12%
1552,MECHANISMS OF AGEING AND DEVELOPMENT,0047-6374,1872-6216,GERIATRICS & GERONTOLOGY - SCIE,"7,302",5.43,Q1,1.1,16.78%
1553,Research Synthesis Methods,1759-2879,1759-2887,MULTIDISCIPLINARY SCIENCES - SCIE,"3,926",5.27,Q1,1.4,44.38%
1554,GERONTOLOGY,0304-324X,1423-0003,GERIATRICS & GERONTOLOGY - SCIE,"5,721",5.14,Q1,0.93,11.11%
1555,CLINICAL AND EXPERIMENTAL ALLERGY,0954-7894,1365-2222,ALLERGY - SCIE,"12,339",5.02,Q2,1.01,21.14%
1556,JOURNAL OF ADOLESCENT HEALTH,1054-139X,1879-1972,PEDIATRICS - SCIE,"20,914",5.01,Q1,1.58,12.11%
1557,PEDIATRIC DIABETES,1399-543X,1399-5448,PEDIATRICS - SCIE,"5,214",4.87,Q1,1.37,8.63%
1558,CURRENT ALLERGY AND ASTHMA REPORTS,1529-7322,1534-6315,ALLERGY - SCIE,"3,395",4.81,Q2,0.62,6.60%
1559,EUROPEAN CHILD & ADOLESCENT PSYCHIATRY,1018-8827,1435-165X,PEDIATRICS - SCIE,"7,765",4.79,Q1,1.48,38.82%
1560,NEUROBIOLOGY OF AGING,0197-4580,1558-1497,GERIATRICS & GERONTOLOGY - SCIE,"27,226",4.67,Q2,1.3,14.59%
1561,Journal of the American Medical Directors Association,1525-8610,1538-9375,GERIATRICS & GERONTOLOGY - SCIE,"13,307",4.67,Q2,1.16,7.09%
1562,REJUVENATION RESEARCH,1549-1684,1557-8577,GERIATRICS & GERONTOLOGY - SCIE,"2,494",4.66,Q2,1.1,4.00%
1563,Clinical Interventions in Aging,N/A,1178-1998,GERIATRICS & GERONTOLOGY - SCIE,"8,509",4.46,Q2,0.82,100.00%
1564,NPJ Microgravity,N/A,2373-8065,MULTIDISCIPLINARY SCIENCES - SCIE,594,4.42,Q1,0.73,100.00%
1565,JOURNAL OF PEDIATRICS,0022-3476,1097-6833,PEDIATRICS - SCIE,"39,713",4.41,Q1,1.92,1.76%
1566,Scientific Reports,2045-2322,2045-2322,MULTIDISCIPLINARY SCIENCES - SCIE,"541,615",4.38,Q1,0.8,99.96%
1567,MATURITAS,0378-5122,1873-4111,GERIATRICS & GERONTOLOGY - SCIE,"9,715",4.34,Q2,1.14,6.43%
1568,JOURNAL OF INVESTIGATIONAL ALLERGOLOGY AND CLINICAL IMMUNOLOGY,1018-9068,1698-0808,ALLERGY - SCIE,"2,703",4.33,Q2,0.55,0.00%
1569,BIOGERONTOLOGY,1389-5729,1573-6768,GERIATRICS & GERONTOLOGY - SCIE,"3,296",4.28,Q2,1.06,22.29%
1570,Journal of Asthma and Allergy,1178-6965,1178-6965,ALLERGY - SCIE,882,4.26,Q2,0.75,100.00%
1571,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY A-MATHEMATICAL PHYSICAL AND ENGINEERING SCIENCES,1364-503X,1471-2962,MULTIDISCIPLINARY SCIENCES - SCIE,"24,950",4.23,Q1,0.69,17.88%
1572,Journal of the Royal Society Interface,1742-5689,1742-5662,MULTIDISCIPLINARY SCIENCES - SCIE,"16,834",4.12,Q2,0.68,29.27%
1573,AMERICAN JOURNAL OF GERIATRIC PSYCHIATRY,1064-7481,1545-7214,GERIATRICS & GERONTOLOGY - SCIE,"9,399",4.11,Q2,1.14,6.23%
1574,World Allergy Organization Journal,1939-4551,1939-4551,ALLERGY - SCIE,"2,492",4.08,Q3,0.69,100.00%
1575,JOURNALS OF GERONTOLOGY SERIES B-PSYCHOLOGICAL SCIENCES AND SOCIAL SCIENCES,1079-5014,1758-5368,GERIATRICS & GERONTOLOGY - SCIE,"13,075",4.08,Q2,1.47,9.43%
1576,Journal of Nutrition Health & Aging,1279-7707,1760-4788,GERIATRICS & GERONTOLOGY - SCIE,"7,384",4.08,Q2,0.85,8.77%
1577,Neonatology,1661-7800,1661-7819,PEDIATRICS - SCIE,"3,727",4.04,Q1,1.68,12.95%
1578,EXPERIMENTAL GERONTOLOGY,0531-5565,1873-6815,GERIATRICS & GERONTOLOGY - SCIE,"12,714",4.03,Q2,1.01,6.64%
1579,JOURNAL OF KING SAUD UNIVERSITY SCIENCE,1018-3647,2213-686X,MULTIDISCIPLINARY SCIENCES - SCIE,"3,276",4.01,Q2,0.72,98.60%
1580,Advanced Theory and Simulations,N/A,2513-0390,MULTIDISCIPLINARY SCIENCES - SCIE,"1,201",4.00,Q2,0.81,10.50%
1581,Pediatric Obesity,2047-6310,2047-6302,PEDIATRICS - SCIE,"2,981",4.00,Q1,1.92,14.02%
1582,PAEDIATRIC AND PERINATAL EPIDEMIOLOGY,0269-5022,1365-3016,PEDIATRICS - SCIE,"4,004",3.98,Q1,1.35,19.25%
1583,Seminars in Fetal & Neonatal Medicine,1744-165X,1878-0946,PEDIATRICS - SCIE,"3,417",3.93,Q1,1.77,4.26%
1584,DRUGS & AGING,1170-229X,1179-1969,GERIATRICS & GERONTOLOGY - SCIE,"4,536",3.92,Q2,0.74,16.44%
1585,BMC Geriatrics,N/A,1471-2318,GERIATRICS & GERONTOLOGY - SCIE,"10,235",3.92,Q2,1.01,100.00%
1586,European Review of Aging and Physical Activity,1813-7253,1861-6909,GERIATRICS & GERONTOLOGY - SCIE,720,3.88,Q2,0.79,100.00%
1587,INTERNATIONAL PSYCHOGERIATRICS,1041-6102,1741-203X,GERIATRICS & GERONTOLOGY - SCIE,"9,732",3.88,Q2,0.99,11.98%
1588,GLOBAL CHALLENGES,N/A,2056-6646,MULTIDISCIPLINARY SCIENCES - SCIE,"1,047",3.85,Q2,0.78,100.00%
1589,ARCHIVES OF DISEASE IN CHILDHOOD,0003-9888,1468-2044,PEDIATRICS - SCIE,"17,160",3.79,Q1,1.43,18.82%
1590,PEDIATRIC RESEARCH,0031-3998,1530-0447,PEDIATRICS - SCIE,"17,338",3.76,Q1,1.36,7.90%
1591,PEDIATRIC NEPHROLOGY,0931-041X,1432-198X,PEDIATRICS - SCIE,"11,293",3.71,Q1,1.19,17.76%
1592,BIRTH-ISSUES IN PERINATAL CARE,0730-7659,1523-536X,PEDIATRICS - SCIE,"3,059",3.69,Q1,1.33,9.55%
1593,FRACTALS-COMPLEX GEOMETRY PATTERNS AND SCALING IN NATURE AND SOCIETY,0218-348X,1793-6543,MULTIDISCIPLINARY SCIENCES - SCIE,"2,667",3.67,Q2,1.24,16.20%
1594,AGING & MENTAL HEALTH,1360-7863,1364-6915,GERIATRICS & GERONTOLOGY - SCIE,"9,359",3.66,Q3,1.05,10.57%
1595,AGING CLINICAL AND EXPERIMENTAL RESEARCH,1594-0667,1720-8319,GERIATRICS & GERONTOLOGY - SCIE,"6,148",3.64,Q3,0.81,17.65%
1596,Pediatric Critical Care Medicine,1529-7535,1947-3893,PEDIATRICS - SCIE,"8,709",3.62,Q1,1.22,0.63%
1597,Journal of Geriatric Oncology,1879-4068,1879-4076,GERIATRICS & GERONTOLOGY - SCIE,"2,422",3.60,Q3,0.7,6.11%
1598,SCIENCE AND ENGINEERING ETHICS,1353-3452,1471-5546,MULTIDISCIPLINARY SCIENCES - SCIE,"2,796",3.53,Q2,2.41,26.57%
1599,PROCEEDINGS OF THE JAPAN ACADEMY SERIES B-PHYSICAL AND BIOLOGICAL SCIENCES,0386-2208,1349-2896,MULTIDISCIPLINARY SCIENCES - SCIE,"2,218",3.49,Q2,0.36,0.00%
1600,INTERNATIONAL JOURNAL OF GERIATRIC PSYCHIATRY,0885-6230,1099-1166,GERIATRICS & GERONTOLOGY - SCIE,"12,377",3.49,Q3,0.94,17.95%
1601,IMMUNOLOGY AND ALLERGY CLINICS OF NORTH AMERICA,0889-8561,1557-8607,ALLERGY - SCIE,"2,188",3.48,Q3,0.73,3.52%
1602,International Breastfeeding Journal,1746-4358,1746-4358,PEDIATRICS - SCIE,"1,583",3.46,Q1,1.34,100.00%
1603,International Journal of Paediatric Dentistry,0960-7439,1365-263X,PEDIATRICS - SCIE,"3,302",3.46,Q1,1.23,4.36%
1604,CLINICS IN PERINATOLOGY,0095-5108,1557-9840,PEDIATRICS - SCIE,"3,264",3.43,Q1,1.42,3.11%
1605,Frontiers in Pediatrics,2296-2360,2296-2360,PEDIATRICS - SCIE,"6,028",3.42,Q1,1.12,100.00%
1606,Allergy Asthma and Clinical Immunology,1710-1492,1710-1492,ALLERGY - SCIE,"1,784",3.41,Q3,0.47,100.00%
1607,Journal of Geriatric Physical Therapy,1539-8412,2152-0895,GERIATRICS & GERONTOLOGY - SCIE,"1,487",3.38,Q3,1.29,2.17%
1608,PEDIATRIC NEUROLOGY,0887-8994,1873-5150,PEDIATRICS - SCIE,"7,192",3.37,Q1,1,5.14%
1609,Journal of Geriatric Cardiology,1671-5411,N/A,GERIATRICS & GERONTOLOGY - SCIE,"1,835",3.33,Q3,0.54,0.00%
1610,SEMINARS IN PERINATOLOGY,0146-0005,1558-075X,PEDIATRICS - SCIE,"4,430",3.30,Q1,0.91,1.86%
1611,PEDIATRIC CLINICS OF NORTH AMERICA,0031-3955,1557-8240,PEDIATRICS - SCIE,"4,678",3.28,Q1,1.39,2.12%
1612,ARCHIVES OF GERONTOLOGY AND GERIATRICS,0167-4943,1872-6976,GERIATRICS & GERONTOLOGY - SCIE,"8,210",3.25,Q3,0.77,5.88%
1613,PLoS One,1932-6203,1932-6203,MULTIDISCIPLINARY SCIENCES - SCIE,"857,723",3.24,Q2,0.57,100.00%
1614,EUROPEAN JOURNAL OF PEDIATRICS,0340-6199,1432-1076,PEDIATRICS - SCIE,"9,989",3.18,Q1,1.31,21.82%
1615,PEDIATRIC BLOOD & CANCER,1545-5009,1545-5017,PEDIATRICS - SCIE,"16,078",3.17,Q1,0.8,5.80%
1616,Journal of the Pediatric Infectious Diseases Society,2048-7193,2048-7207,PEDIATRICS - SCIE,"1,986",3.16,Q1,1.2,7.57%
1617,Current Opinion in Allergy and Clinical Immunology,1528-4050,1473-6322,ALLERGY - SCIE,"3,557",3.14,Q3,0.5,0.83%
1618,EUROPEAN JOURNAL OF PAEDIATRIC NEUROLOGY,1090-3798,1532-2130,PEDIATRICS - SCIE,"3,856",3.14,Q1,1.07,8.29%
1619,Academic Pediatrics,1876-2859,1876-2867,PEDIATRICS - SCIE,"4,049",3.11,Q1,1.36,0.99%
1620,Maternal and Child Nutrition,1740-8695,1740-8709,PEDIATRICS - SCIE,"4,753",3.09,Q2,1.09,61.72%
1621,CLINICS IN GERIATRIC MEDICINE,0749-0690,1879-8853,GERIATRICS & GERONTOLOGY - SCIE,"3,138",3.08,Q3,0.88,0.00%
1622,Pediatric Rheumatology,N/A,1546-0096,PEDIATRICS - SCIE,"2,009",3.05,Q2,0.93,100.00%
1623,Pediatric Physical Therapy,0898-5669,1538-005X,PEDIATRICS - SCIE,"1,614",3.05,Q2,0.62,0.00%
1624,PEDIATRIC PULMONOLOGY,8755-6863,1099-0496,PEDIATRICS - SCIE,"9,235",3.04,Q2,0.98,7.60%
1625,Child and Adolescent Psychiatry and Mental Health,N/A,1753-2000,PEDIATRICS - SCIE,"2,021",3.03,Q2,0.94,100.00%
1626,PEDIATRIC DRUGS,1174-5878,1179-2019,PEDIATRICS - SCIE,"1,542",3.02,Q2,0.89,16.88%
1627,Childhood Obesity,2153-2168,2153-2176,PEDIATRICS - SCIE,"1,818",2.99,Q2,1.28,0.49%
1628,PeerJ,2167-8359,2167-8359,MULTIDISCIPLINARY SCIENCES - SCIE,"29,906",2.98,Q2,0.51,100.00%
1629,GERODONTOLOGY,0734-0664,1741-2358,GERIATRICS & GERONTOLOGY - SCIE,"2,232",2.98,Q3,0.69,7.02%
1630,Royal Society Open Science,2054-5703,2054-5703,MULTIDISCIPLINARY SCIENCES - SCIE,"11,155",2.96,Q2,0.53,100.00%
1631,DEMENTIA AND GERIATRIC COGNITIVE DISORDERS,1420-8008,1421-9824,GERIATRICS & GERONTOLOGY - SCIE,"5,326",2.96,Q3,0.71,10.47%
1632,Children-Basel,N/A,2227-9067,PEDIATRICS - SCIE,"1,628",2.86,Q2,0.97,100.00%
1633,CURRENT OPINION IN PEDIATRICS,1040-8703,1531-698X,PEDIATRICS - SCIE,"4,450",2.86,Q2,0.73,1.17%
1634,Hormone Research in Paediatrics,1663-2818,1663-2826,PEDIATRICS - SCIE,"2,647",2.85,Q2,0.78,9.75%
1635,JOURNAL OF PEDIATRIC GASTROENTEROLOGY AND NUTRITION,0277-2116,1536-4801,PEDIATRICS - SCIE,"15,311",2.84,Q2,0.96,3.07%
1636,INTERNATIONAL JOURNAL OF BIFURCATION AND CHAOS,0218-1274,1793-6551,MULTIDISCIPLINARY SCIENCES - SCIE,"8,572",2.84,Q2,0.71,2.80%
1637,COMPLEXITY,1076-2787,1099-0526,MULTIDISCIPLINARY SCIENCES - SCIE,"7,133",2.83,Q2,0.69,100.00%
1638,SCIENCE PROGRESS,0036-8504,2047-7163,MULTIDISCIPLINARY SCIENCES - SCIE,689,2.77,Q2,0.69,85.65%
1639,World Journal of Pediatrics,1708-8569,1867-0687,PEDIATRICS - SCIE,"2,250",2.76,Q2,0.79,7.66%
1640,Seminars in Pediatric Surgery,1055-8586,1532-9453,PEDIATRICS - SCIE,"2,233",2.75,Q2,1.11,2.16%
1641,JOURNAL OF THE ROYAL SOCIETY OF NEW ZEALAND,0303-6758,1175-8899,MULTIDISCIPLINARY SCIENCES - SCIE,944,2.75,Q2,0.3,13.56%
1642,INTERNATIONAL ARCHIVES OF ALLERGY AND IMMUNOLOGY,1018-2438,1423-0097,ALLERGY - SCIE,"5,908",2.75,Q3,0.67,6.85%
1643,Geriatrics & Gerontology International,1444-1586,1447-0594,GERIATRICS & GERONTOLOGY - SCIE,"5,879",2.73,Q3,0.75,8.20%
1644,Paediatric Respiratory Reviews,1526-0542,1526-0550,PEDIATRICS - SCIE,"2,234",2.73,Q2,1.02,4.73%
1645,Symmetry-Basel,N/A,2073-8994,MULTIDISCIPLINARY SCIENCES - SCIE,"9,999",2.71,Q2,0.51,100.00%
1646,PROCEEDINGS OF THE ROYAL SOCIETY A-MATHEMATICAL PHYSICAL AND ENGINEERING SCIENCES,1364-5021,1471-2946,MULTIDISCIPLINARY SCIENCES - SCIE,"22,295",2.70,Q2,0.5,16.18%
1647,Journal of Taibah University for Science,1658-3655,1658-3655,MULTIDISCIPLINARY SCIENCES - SCIE,"2,141",2.69,Q2,0.45,99.75%
1648,JOURNAL OF GERIATRIC PSYCHIATRY AND NEUROLOGY,0891-9887,1552-5708,GERIATRICS & GERONTOLOGY - SCIE,"2,184",2.68,Q3,0.67,8.24%
1649,Italian Journal of Pediatrics,1720-8424,1824-7288,PEDIATRICS - SCIE,"2,653",2.64,Q2,0.92,100.00%
1650,Clinical Gerontologist,0731-7115,1545-2301,GERIATRICS & GERONTOLOGY - SCIE,"1,478",2.62,Q4,0.89,1.80%
1651,ALLERGY AND ASTHMA PROCEEDINGS,1088-5412,1539-6304,ALLERGY - SCIE,"2,428",2.59,Q3,0.67,0.00%
1652,JOURNAL OF CHILD AND ADOLESCENT PSYCHOPHARMACOLOGY,1044-5463,1557-8992,PEDIATRICS - SCIE,"3,485",2.58,Q2,0.9,10.32%
1653,MIT Technology Review,1099-274X,N/A,MULTIDISCIPLINARY SCIENCES - SCIE,"1,156",2.56,Q2,0.02,0.00%
1654,PEDIATRIC ANESTHESIA,1155-5645,1460-9592,PEDIATRICS - SCIE,"5,810",2.56,Q2,0.95,6.36%
