1	The "All of Us" Research Program	Accession 	Number	New England Journal of Medicine
939	Immediate and sustained benefits of a "total" implementation of speech recognition reporting	Accession 	Number	British Journal of Radiology
940	General practitioners' attitudes and preparedness towards Clinical Decision Support in e-Prescribing (CDS-eP) adoption in the West of Ireland: a cross sectional study	Accession 	Number	BMC Medical Informatics and Decision Making
941	Real-Time, Automated Detection of Ventilator-Associated Events: Avoiding Missed Detections, Misclassifications, and False Detections Due to Human Error	Accession 	Number	Infection Control and Hospital Epidemiology
942	Health information needs of pregnant women: information sources, motives and barriers	Accession 	Number	Health Info Libr J
943	Association of procalcitonin values and bacterial infections in pediatric patients receiving extracorporeal membrane oxygenation	Accession 	Number	Perfusion
944	Blood pressure outcomes in patients receiving angiotensin II receptor blockers in primary care: a comparative effectiveness analysis from electronic medical record data	Accession 	Number	Journal of Clinical Hypertension (Greenwich, Conn)
945	Patient-centered Pharmacist Care in the Hemodialysis Unit: a quasi-experimental interrupted time series study	Accession 	Number	BMC Nephrology
946	A clinical research analytics toolkit for cohort study	Accession 	Number	Studies in Health Technology and Informatics
947	Asymptotically Unbiased Estimation of Exposure Odds Ratios in Complete Records Logistic Regression	Accession 	Number	American Journal of Epidemiology
948	Prescribing Patterns of Oral Antineoplastic Therapies Observed in the Treatment of Patients With Advanced Prostate Cancer Between 2012 and 2014: Results of an Oncology EMR Analysis	Accession 	Number	Clinical Therapeutics
949	Effect of mandated nurse-patient ratios on patient wait time and care time in the emergency department	Accession 	Number	Academic Emergency Medicine
950	One- and two-year visual outcomes from the Moorfields age-related macular degeneration database: a retrospective cohort study and an open science resource	Accession 	Number	BMJ Open
951	Clinical trials and E-health: impact of new information technology applied to clinical trials (including source data-medical records) and to human and drug research	Accession 	Number	Therapie
952	Using clinical data to predict high-cost performance coding issues associated with pressure ulcers: a multilevel cohort model	Accession 	Number	Journal of the American Medical Informatics Association
953	Comparison of the Between the Flags calling criteria to the MEWS, NEWS and the electronic Cardiac Arrest Risk Triage (eCART) score for the identification of deteriorating ward patients	Accession 	Number	Resuscitation
954	How to represent the decision process in a medication plan: the case of the Swiss cohort of inflammatory bowel diseases	Accession 	Number	Studies in Health Technology and Informatics
955	External validation and comparison of three prediction tools for risk of osteoporotic fractures using data from population based electronic health records: retrospective cohort study	Accession 	Number	BMJ
956	Statistical lessons learned for designing cluster randomized pragmatic clinical trials from the NIH Health Care Systems Collaboratory Biostatistics and Design Core	Accession 	Number	Clinical Trials (London, England)
957	Statin use and the risk of colorectal cancer in a population-based electronic health records study	Accession 	Number	Scientific Reports
958	High-Deductible Health Plans: Implications for Substance Use Treatment	Accession 	Number	Health Services Research
959	Severe flare as a predictor of poor outcome in ankylosing spondylitis: a cohort study using questionnaire and routine data linkage	Accession 	Number	Rheumatology (Oxford, England)
960	Pulse pressure and stroke risk: development and validation of a new stroke risk model	Accession 	Number	Current Medical Research and Opinion
961	Biology-Driven Gene-Gene Interaction Analysis of Age-Related Cataract in the eMERGE Network	Accession 	Number	Genetic Epidemiology
962	Characterization of Vancomycin Reactions and Linezolid Utilization in the Pediatric Population	Accession 	Number	J Allergy Clin Immunol Pract
963	Widely used track and trigger scores: are they ready for automation in practice?	Accession 	Number	Resuscitation
964	Characterizing Disease Burden and Progression of Geographic Atrophy Secondary to Age-Related Macular Degeneration	Accession 	Number	Ophthalmology
965	Improving adherence to otitis media guidelines with clinical decision support and physician feedback	Accession 	Number	Pediatrics
966	[Difficult-to-classify symptoms and syndromes in a series of 5398 neurological outpatients diagnosed according to ICD-10 criteria]	Accession 	Number	Revista de Neurología
967	Predicting Depression among Patients with Diabetes Using Longitudinal Data. A Multilevel Regression Model	Accession 	Number	Methods of Information in Medicine
968	A novel metadata management model to capture consent for record linkage in longitudinal research studies	Accession 	Number	Inform Health Soc Care
969	Reduction in time to first action as a result of electronic alerts for early sepsis recognition	Accession 	Number	Critical Care Nursing Quarterly
970	Measuring diabetes care in the national interdisciplinary primary care practice-based research network (NIPC-PBRN)	Accession 	Number	Pharmacotherapy
971	Strategies for Improving the Value of the Radiology Report: A Retrospective Analysis of¬†Errors in Formally Over-read Studies	Accession 	Number	J Am Coll Radiol
972	Validation of body mass index (BMI)-related ICD-9-CM and ICD-10-CM administrative diagnosis codes recorded in US claims data	Accession 	Number	Pharmacoepidemiology and Drug Safety
973	Tacrolimus therapy causes hepatotoxicity in patients with a history of liver disease	Accession 	Number	International Journal of Clinical Pharmacology and Therapeutics
974	When to re-order laboratory tests? Learning laboratory test shelf-life	Accession 	Number	Journal of Biomedical Informatics
975	Completeness of operative reports for rectal cancer surgery	Accession 	Number	American Journal of Surgery
976	Mayo Genome Consortia: a genotype-phenotype resource for genome-wide association studies with an application to the analysis of circulating bilirubin levels	Accession 	Number	Mayo Clinic Proceedings
